"","molecule","cluster"
"1","OTU_11",1
"2","OTU_44",1
"3","OTU_100",1
"4","OTU_208",1
"5","OTU_239",1
"6","OTU_245",1
"7","OTU_268",1
"8","OTU_451",2
"9","OTU_483",3
"10","OTU_880",1
"11","OTU_924",1
"12","OTU_966",1
"13","OTU_1040",1
"14","OTU_1089",1
"15","OTU_1153",1
"16","OTU_1176",1
"17","OTU_1206",1
"18","OTU_1390",1
"19","OTU_1393",1
"20","OTU_1398",1
"21","OTU_1399",1
"22","OTU_1427",1
"23","OTU_1452",1
"24","OTU_1475",1
"25","OTU_1483",1
"26","OTU_1512",1
"27","OTU_1518",1
"28","OTU_1519",1
"29","OTU_1527",1
"30","OTU_1548",1
"31","OTU_1558",1
"32","OTU_1570",1
"33","OTU_1622",1
"34","OTU_1678",1
"35","OTU_1684",1
"36","OTU_1702",1
"37","OTU_1707",1
"38","OTU_1744",1
"39","OTU_1747",1
"40","OTU_1782",1
"41","OTU_1797",1
"42","OTU_1807",1
"43","OTU_1824",1
"44","OTU_1856",1
"45","OTU_1875",1
"46","OTU_1892",1
"47","OTU_1932",1
"48","OTU_1938",1
"49","OTU_1939",1
"50","OTU_1946",1
"51","OTU_1947",1
"52","OTU_1953",1
"53","OTU_1965",1
"54","OTU_1974",1
"55","OTU_2056",1
"56","OTU_2088",1
"57","OTU_2101",1
"58","OTU_2105",1
"59","OTU_2112",1
"60","OTU_2120",1
"61","OTU_2121",1
"62","OTU_2127",1
"63","OTU_2129",1
"64","OTU_2131",1
"65","OTU_2138",1
"66","OTU_2140",1
"67","OTU_2147",1
"68","OTU_2152",1
"69","OTU_2160",1
"70","OTU_2161",1
"71","OTU_2163",1
"72","OTU_2169",1
"73","OTU_2171",1
"74","OTU_2180",1
"75","OTU_2192",1
"76","OTU_2195",1
"77","OTU_2201",1
"78","OTU_2202",1
"79","OTU_2203",1
"80","OTU_2213",1
"81","OTU_2220",1
"82","OTU_2227",1
"83","OTU_2240",1
"84","OTU_2242",1
"85","OTU_2245",1
"86","OTU_2248",1
"87","OTU_2270",1
"88","OTU_2277",1
"89","OTU_2285",1
"90","OTU_2286",1
"91","OTU_2326",1
"92","OTU_2327",1
"93","OTU_2342",1
"94","OTU_2351",1
"95","OTU_2361",1
"96","OTU_2389",1
"97","OTU_2449",1
"98","OTU_2571",1
"99","OTU_2573",1
"100","OTU_2577",1
"101","OTU_2597",1
"102","OTU_2611",1
"103","OTU_2632",1
"104","OTU_2658",1
"105","OTU_2809",1
"106","OTU_2837",1
"107","OTU_2850",1
"108","OTU_2856",1
"109","OTU_2867",1
"110","OTU_2871",1
"111","OTU_2912",1
"112","OTU_2929",1
"113","OTU_2933",1
"114","OTU_2935",1
"115","OTU_2962",1
"116","OTU_2972",1
"117","OTU_2982",1
"118","OTU_2994",1
"119","OTU_3010",1
"120","OTU_3015",1
"121","OTU_3076",1
"122","OTU_3124",1
"123","OTU_3161",1
"124","OTU_3193",4
"125","OTU_3208",1
"126","OTU_3244",1
"127","OTU_3247",1
"128","OTU_3275",1
"129","OTU_3276",1
"130","OTU_3300",1
"131","OTU_3393",1
"132","OTU_3417",1
"133","OTU_3425",1
"134","OTU_3459",1
